id	sex	bdate	education	occupation	langs
50685393	2	0			
50622995	1	1993			
143212995	1	1992			
50127228	2	1992			
50032593	2	0			
50024552	2	1991			
49873199	1	1990			
49593088	1	1994			
49568794	1	1992			
49366217	2	1989			
48796411	2	0			['Русский', 'English']
48647051	2	0			
47911262	2	0			
46886578	1	0			
50622578	1	1990			
45391073	1	0			
56901073	1	0			
45274507	2	1993			
44912210	1	1988			
44667371	2	1993			['Русский', 'English']
44425092	2	1996			
44135765	2	0			
44056531	1	1991			
43391461	1	0			
43356944	2	1995			
41786015	2	1993			
41426419	2	1990			
41243844	1	1990			
41172663	1	0			
40395251	2	1998			
172296251	2	0			
38969482	1	1993			
38086655	1	0			
146926655	1	1997			
37355155	2	0			
37297451	2	0			
35849907	1	1984			
35410092	2	1989			['Русский', 'English']
35212055	2	0			
35143023	1	0			
33999858	1	0			
33701026	1	1988			
32989967	2	1995			
32863838	1	0			
32617753	2	1993			
32499519	1	0			
32072302	1	0			
31582553	2	0			
31578662	2	0			
30198986	1	1989			
30017525	1	1983			
28991373	1	0			
28659446	1	0			
28459360	1	1995			
27307463	1	1996			
26295331	1	1990			
26168499	1	1993			['Русский', 'English']
25685572	2	1983			
25022769	1	1989			
24289505	2	0			
24028388	1	1987			
184193388	1	2002			
23175544	2	1995			
148237544	1	0			
22946314	1	0			
22772147	2	1989			
22681469	2	0			
22447129	2	1988			
