path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country		region	language
C:\search\corpora\2015\11\				Ульяновская правда - В «Губернаторском» пройдет благотворительный концерт	12.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20007	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - в «губернаторский» пройти благотворительный концерт

C:\search\corpora\2015\11\				Ульяновская правда - Московский журнал расскажет о жизни и творчестве Николая Карамзина	11.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19980	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - московский журнал рассказывать о жизнь и творчество николай карамзин

C:\search\corpora\2015\11\				Ульяновская правда - Почему в ульяновской «кукле» ушла на пенсию Красная Шапочка	10.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19918	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - почему в ульяновский «кукла» уходить на пенсия красный шапочка

C:\search\corpora\2015\11\				Ульяновская правда - Ульяновцы встретились с народным артистом России Михаилом Ножкиным	09.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19901	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - ульяновец встречаться с народный артист россия михаил ножкин

C:\search\corpora\2015\11\				Ульяновская правда - «Квартал» с нулевым бюджетом развлекает город	06.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19871	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - «квартал» с нулевой бюджет развлекать город

C:\search\corpora\2015\10\				Ульяновская правда - Марина Девятова: «Мне нравится то, что я делаю, и не хочу пробовать себя в другом жанре»	27.10.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19628	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - марина девятов: «я нравиться то, что я делать, и не хотеть пробовать себя в другой жанр»

C:\search\corpora\2015\10\				Ульяновская правда - Посвящается памяти чувашского просветителя Ивана Яковлева	23.10.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19523	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - посвящаться память чувашский просветитель иван яковлев

C:\search\corpora\2015\10\				Ульяновская правда - В Москве продолжается выставка картин Никаса Сафронова	22.10.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19507	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - в москва продолжаться выставка картина никас сафронов

C:\search\corpora\2015\10\				Ульяновская правда - Жизнь и завещание Ивана Яковлева	21.10.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19479	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - жизнь и завещание иван яковлев

